2020-04-15 02:50:17.662471	https://www.encodeproject.org/report/?type=File&file_format=bigBed&assembly=GRCh38&assay_term_name=ChIP-seq&status=released&lab.title=ENCODE+Processing+Pipeline&output_type=replicated+peaks&output_type=optimal+IDR+thresholded+peaks&field=%40id&field=dataset&field=biological_replicates&field=biosample_ontology.term_name&field=target.label&field=cloud_metadata&field=biosample_ontology&limit=all
ID	Dataset	Biological replicates	Biosample name	Target label	Cloud metadata	Biosample ontology
/files/ENCFF303YOI/	/experiments/ENCSR768LIO/	1,2	HEK293	OVOL3	{'md5sum_base64': 'OOBiqok3Vq1ITdt6m1LQcA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/ce9cdd42-aa67-4e73-81ba-d1a60561d13e/ENCFF303YOI.bigBed', 'file_size': 370657}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF011MNL/	/experiments/ENCSR002EZN/	2,3	skeletal muscle satellite cell	H3K4me2	{'md5sum_base64': 'kuYN6sCzKRjkQbWihELddA==', 'url': 'https://encode-public.s3.amazonaws.com/2018/01/27/b9c2aa1e-06ff-464e-9367-63d2aa87a581/ENCFF011MNL.bigBed', 'file_size': 5206370}	/biosample-types/primary_cell_CL_0000594/
/files/ENCFF508FMH/	/experiments/ENCSR675EXE/	1,2	T-helper 17 cell	H3K27me3	{'md5sum_base64': 'KarcXWOhoaPlgF02PlQL1g==', 'url': 'https://encode-public.s3.amazonaws.com/2018/01/20/6482c932-3683-4df1-b56a-263e9d9211cd/ENCFF508FMH.bigBed', 'file_size': 2288371}	/biosample-types/primary_cell_CL_0000899/
/files/ENCFF518MXO/	/experiments/ENCSR819LHG/	1,2	K562	FOXA1	{'md5sum_base64': '/7okKy/WzV9GLTMGYv2FSg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/44afc2ad-f3a1-4233-9cf3-a1dfe28ffdf5/ENCFF518MXO.bigBed', 'file_size': 85828}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF003QSQ/	/experiments/ENCSR231ENE/	1,2	MCF-7	ARID3A	{'md5sum_base64': 'zQu+FY/FvaUaCYxByzAH4A==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/c4e19aa4-1871-452f-b2af-6a556a951f7b/ENCFF003QSQ.bigBed', 'file_size': 134110}	/biosample-types/cell_line_EFO_0001203/
/files/ENCFF728BXB/	/experiments/ENCSR136ZNV/	1,2	adipocyte	H3K36me3	{'md5sum_base64': 'FjEBvQ1gpg35fDxHawUkuw==', 'url': 'https://encode-public.s3.amazonaws.com/2018/01/26/7d640184-eb96-4768-b6ff-2c92bb815a45/ENCFF728BXB.bigBed', 'file_size': 5476501}	/biosample-types/in_vitro_differentiated_cells_CL_0000136/
/files/ENCFF651WYF/	/experiments/ENCSR000EGM/	1,2	K562	CTCF	{'md5sum_base64': 'A/n2EninhEfmqGjUOfJI0Q==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/c4109611-1309-4080-b844-140c75aa833c/ENCFF651WYF.bigBed', 'file_size': 1570949}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF878JAW/	/experiments/ENCSR249INE/	1,2	uterus	H3K27ac	{'md5sum_base64': 'eNeoqEemJXhtY4X9mbbHqQ==', 'url': 'https://encode-public.s3.amazonaws.com/2018/02/24/ed8218c5-c489-4907-a46a-ec9e8c89e4e6/ENCFF878JAW.bigBed', 'file_size': 3711275}	/biosample-types/tissue_UBERON_0000995/
/files/ENCFF704SWW/	/experiments/ENCSR314WYC/	1,2	neuron	H3K4me3	{'md5sum_base64': 'mt/ymx8KMOfGILwNjff4xQ==', 'url': 'https://encode-public.s3.amazonaws.com/2018/02/21/866ae7b1-a918-47f2-a85b-7b1dbb6c7c8c/ENCFF704SWW.bigBed', 'file_size': 1849369}	/biosample-types/in_vitro_differentiated_cells_CL_0000540/
/files/ENCFF897JLM/	/experiments/ENCSR882ICT/	1,2	HEK293T	ZNF384	{'md5sum_base64': 'oZp9wltysU1V8w7rXB+iDQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/5a8c3d0e-c9e0-4990-b15b-87922a05eb8c/ENCFF897JLM.bigBed', 'file_size': 608005}	/biosample-types/cell_line_EFO_0001184/
/files/ENCFF023ZOD/	/experiments/ENCSR841NDX/	1,2	GM12878	ELF1	{'md5sum_base64': '+mJFUTYWH5kD3ltfZoim9Q==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/24/39bc386d-4cbb-4c03-9d7f-f91022bb4403/ENCFF023ZOD.bigBed', 'file_size': 1252595}	/biosample-types/cell_line_EFO_0002784/
/files/ENCFF406DTF/	/experiments/ENCSR330ADN/	1,2	MCF-7	DDX20	{'md5sum_base64': 'WoDTTBRshImYQ4IFLNauzA==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/17/b9901001-3bb0-478a-aecd-231e93b4560d/ENCFF406DTF.bigBed', 'file_size': 189464}	/biosample-types/cell_line_EFO_0001203/
/files/ENCFF680FCO/	/experiments/ENCSR698CKZ/	1,2	MM.1S	H2AFZ	{'md5sum_base64': '4b3HG3Yf9uZ0+NKxJkEWig==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/07/3c4404d0-4992-4d4a-93d6-c5ae7c24ecc3/ENCFF680FCO.bigBed', 'file_size': 3250932}	/biosample-types/cell_line_EFO_0005724/
/files/ENCFF753BWG/	/experiments/ENCSR130IMV/	1,2	smooth muscle cell	H3K4me1	{'md5sum_base64': 'hM3nIyqjYEvuK5VrfN/6Qg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/04/eee41d5e-9147-4ef7-a7df-57e5d677fb6a/ENCFF753BWG.bigBed', 'file_size': 5515649}	/biosample-types/in_vitro_differentiated_cells_CL_0000192/
/files/ENCFF483OOI/	/experiments/ENCSR289TGF/	1,2	hepatocyte	H4K20me1	{'md5sum_base64': 'GfDF0svSsiYP80lGDgK2kg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/12/06/4154cede-97e9-4355-8b24-a6e245414e45/ENCFF483OOI.bigBed', 'file_size': 2132684}	/biosample-types/in_vitro_differentiated_cells_CL_0000182/
/files/ENCFF645JLZ/	/experiments/ENCSR943LZX/	1,2	PC-3	H3K9me2	{'md5sum_base64': 'wdI94owDYpTipvCgsO+omQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/09/26622384-4263-4cb7-8ea4-8ca1095040b1/ENCFF645JLZ.bigBed', 'file_size': 318134}	/biosample-types/cell_line_EFO_0002074/
/files/ENCFF714AST/	/experiments/ENCSR528PSI/	1,2	HepG2	HLF	{'md5sum_base64': 'J1eXG8L73FZdjjxD/jVyoA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/31/b8023e57-95e3-4ec5-9ab1-f72ca207ce99/ENCFF714AST.bigBed', 'file_size': 1775197}	/biosample-types/cell_line_EFO_0001187/
/files/ENCFF095DSJ/	/experiments/ENCSR362NWP/	1,2	HepG2	ZNF24	{'md5sum_base64': 'JHtU+G2TbOGxObaRHy4BJA==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/24/19ad8ce2-2d0c-489c-b834-06f2e6da82f3/ENCFF095DSJ.bigBed', 'file_size': 320053}	/biosample-types/cell_line_EFO_0001187/
/files/ENCFF161QXX/	/experiments/ENCSR807BGP/	1,2	K562	MTA1	{'md5sum_base64': 'GdQUe/rm6DO3qc8e0hShbA==', 'url': 'https://encode-public.s3.amazonaws.com/2017/05/12/fd37aa30-c454-407c-adbe-a9c310f70413/ENCFF161QXX.bigBed', 'file_size': 699952}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF267JYW/	/experiments/ENCSR715QNO/	1,2	HEK293	ZNF362	{'md5sum_base64': 'deET7xMruY/KFzTSdhyk2A==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/28/8f1f8b16-44fa-4afd-aeed-d7209c5ca251/ENCFF267JYW.bigBed', 'file_size': 824852}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF661DYQ/	/experiments/ENCSR412YGM/	1,2	GM12878	ZSCAN29	{'md5sum_base64': 'GhqjtIts371y82ANZkmqgw==', 'url': 'https://encode-public.s3.amazonaws.com/2017/05/12/531851f5-2086-4fda-b143-cc70cd004b40/ENCFF661DYQ.bigBed', 'file_size': 324132}	/biosample-types/cell_line_EFO_0002784/
/files/ENCFF179VTO/	/experiments/ENCSR654VRX/	1,2	neural cell	H3K27me3	{'md5sum_base64': 'kxDJbqp5BmolpIOYAKdY9Q==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/30/18be1e74-428a-4f2f-8ee7-8b091f2843ef/ENCFF179VTO.bigBed', 'file_size': 997893}	/biosample-types/in_vitro_differentiated_cells_CL_0002319/
/files/ENCFF929SUN/	/experiments/ENCSR000BQC/	1,2	endothelial cell of umbilical vein	POLR2AphosphoS5	{'md5sum_base64': 'JrEvNx9tdjDRD5C92XCphQ==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/17/441f710b-3c8b-414c-a2d4-15022b1f4f5d/ENCFF929SUN.bigBed', 'file_size': 1319197}	/biosample-types/primary_cell_CL_0002618/
/files/ENCFF632WUS/	/experiments/ENCSR022IZK/	1,2	HEK293	ZNF623	{'md5sum_base64': 'gIiaoxqhcnR8B/gu2LEzAg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/28/6c396a38-b429-46bd-a492-ef3663ca8ee0/ENCFF632WUS.bigBed', 'file_size': 555735}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF763THS/	/experiments/ENCSR418MKG/	1,2	HEK293	ZNF692	{'md5sum_base64': 'Xe1GIWG5I35Sz+z2TNRU/g==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/eb249bf7-19cc-427f-b6dc-2cd3b61a983d/ENCFF763THS.bigBed', 'file_size': 1203087}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF239LOH/	/experiments/ENCSR000ASJ/	1,2	CD14-positive monocyte	H3K27ac	{'md5sum_base64': '5drPXq3ogeMMT17N4nQd7A==', 'url': 'https://encode-public.s3.amazonaws.com/2016/07/13/a04df76c-f78b-4f6e-bbe9-bdad2f12c5d4/ENCFF239LOH.bigBed', 'file_size': 4174446}	/biosample-types/primary_cell_CL_0001054/
/files/ENCFF201GVE/	/experiments/ENCSR692HIO/	1,2	NCI-H929	H3K4me2	{'md5sum_base64': 'SnqBopNA7Ev8RtJj/HVmSA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/19/deadf07c-c107-449d-9d13-359226b59f07/ENCFF201GVE.bigBed', 'file_size': 6274964}	/biosample-types/cell_line_EFO_0001221/
/files/ENCFF729CHI/	/experiments/ENCSR730TBC/	1,2	HepG2	MNT	{'md5sum_base64': 'K9sw0os/DkAUejizvYNQiQ==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/07/9d7eb44a-600c-4c0f-90cf-cf9a5f99ff6d/ENCFF729CHI.bigBed', 'file_size': 439985}	/biosample-types/cell_line_EFO_0001187/
/files/ENCFF520WAX/	/experiments/ENCSR372GIN/	1,2	GM12878	CBX5	{'md5sum_base64': 'skHhmV/fjBo0sdqbLNOyOw==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/31/888cdec8-312e-4138-85bb-2030339f4421/ENCFF520WAX.bigBed', 'file_size': 476591}	/biosample-types/cell_line_EFO_0002784/
/files/ENCFF182NAG/	/experiments/ENCSR018LUP/	1,2	SU-DHL-6	H3K9me2	{'md5sum_base64': 'pb8eXTdLctAp23OAAG/7HA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/17/3c8fc8b0-fae9-49ad-aa26-419a3fbb5431/ENCFF182NAG.bigBed', 'file_size': 201706}	/biosample-types/cell_line_EFO_0002357/
/files/ENCFF530WVB/	/experiments/ENCSR000ARG/	1,2	mammary epithelial cell	H3K9me3	{'md5sum_base64': 'ULa3RUZRBPIdXpkIGXlxJg==', 'url': 'https://encode-public.s3.amazonaws.com/2017/05/08/a0799181-a432-4f5b-8ec8-3c731fd09f1e/ENCFF530WVB.bigBed', 'file_size': 3825168}	/biosample-types/primary_cell_CL_0002327/
/files/ENCFF561ZWC/	/experiments/ENCSR831JSP/	1,2	IMR-90	H3K4me1	{'md5sum_base64': 'wZxqdDno79y6DyuN5uwD3g==', 'url': 'https://encode-public.s3.amazonaws.com/2017/05/25/bec70d86-8692-4ce8-b5f1-a686356e057d/ENCFF561ZWC.bigBed', 'file_size': 8760190}	/biosample-types/cell_line_EFO_0001196/
/files/ENCFF018OCH/	/experiments/ENCSR535DIA/	1,2	HEK293	GLIS2	{'md5sum_base64': '+3ggGCTshUSVWGME2+JaPw==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/e906e432-e9ce-4f12-b568-029811e26324/ENCFF018OCH.bigBed', 'file_size': 1597071}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF430BPF/	/experiments/ENCSR635NOQ/	1,2	HEK293	KLF8	{'md5sum_base64': 'nkKBwsS8g0672vojfB69VQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/6ae06303-e6f6-4432-971c-b1c19d8e5258/ENCFF430BPF.bigBed', 'file_size': 1353943}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF612PEJ/	/experiments/ENCSR000BTL/	1,2	HL-60	POLR2AphosphoS5	{'md5sum_base64': '9t8irQtGjgIEgUhOAQoBUg==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/17/33121341-9a17-4b82-981d-230a157be550/ENCFF612PEJ.bigBed', 'file_size': 1355539}	/biosample-types/cell_line_EFO_0002793/
/files/ENCFF634SLM/	/experiments/ENCSR243INX/	1,2	PC-9	CTCF	{'md5sum_base64': '56yfN+pQOni0KjiTlGu50A==', 'url': 'https://encode-public.s3.amazonaws.com/2017/01/12/95c75d6b-7219-4bfd-ab14-38c313758c3c/ENCFF634SLM.bigBed', 'file_size': 1925265}	/biosample-types/cell_line_EFO_0002847/
/files/ENCFF687TYV/	/experiments/ENCSR859FDL/	1,2	GM12878	ZNF687	{'md5sum_base64': 'zD9+RVSwBUTtOOHX/xHzIQ==', 'url': 'https://encode-public.s3.amazonaws.com/2017/06/24/080037c3-139d-490f-83e9-5a1fa9b7931b/ENCFF687TYV.bigBed', 'file_size': 1300872}	/biosample-types/cell_line_EFO_0002784/
